[[ 0.          0.        ]
 [ 0.00003327  0.00003327]
 [ 0.00268514  0.00268514]
 [ 0.00292444  0.00292444]
 [ 0.          0.        ]
 [ 0.00000032  0.00000032]
 [ 0.          0.        ]
 [ 0.00343773  0.00343773]
 [ 0.00012247  0.00012247]
 [ 0.00000205  0.00000205]
 [ 0.00051828  0.00051828]
 [ 0.03564762  0.03564763]
 [ 0.00001209  0.00001209]
 [ 0.01634095  0.01634095]
 [ 0.00309289  0.00309289]
 [ 0.00000093  0.00000093]
 [ 0.00000005  0.00000005]
 [ 0.00046335  0.00046335]
 [ 0.00169212  0.00169212]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00000008  0.00000008]
 [ 0.00042784  0.00042784]
 [ 0.00251192  0.00251192]
 [ 0.00254738  0.00254738]
 [ 0.00235048  0.00235048]
 [ 0.00002484  0.00002484]
 [ 0.          0.        ]
 [ 0.05000134  0.05000134]
 [ 0.00401664  0.00401664]
 [ 0.00000078  0.00000078]
 [ 0.00000716  0.00000716]
 [ 0.          0.        ]
 [ 0.00028448  0.00028448]
 [ 0.00001004  0.00001004]
 [ 0.00047634  0.00047634]
 [ 0.00011179  0.00011179]
 [ 0.00000021  0.00000021]
 [ 0.00000023  0.00000023]
 [ 0.00285561  0.00285561]
 [ 0.00522137  0.00522137]
 [ 0.00071986  0.00071986]
 [ 0.00020893  0.00020893]
 [ 0.000055    0.000055  ]
 [ 0.00017691  0.00017691]
 [ 0.00010689  0.00010689]
 [ 0.00000001  0.00000001]
 [ 0.00149462  0.00149462]
 [ 0.00608983  0.00608983]
 [ 0.03175631  0.03175631]
 [ 0.          0.        ]
 [ 0.00000006  0.00000006]
 [ 0.0000291   0.0000291 ]
 [ 0.00000002  0.00000002]
 [ 0.00014752  0.00014752]
 [ 0.00051537  0.00051537]
 [ 0.00004223  0.00004223]
 [ 0.00000004  0.00000004]
 [ 0.00000082  0.00000082]
 [ 0.00000028  0.00000028]
 [ 0.01417467  0.01417467]
 [ 0.          0.        ]
 [ 0.00000007  0.00000007]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00000001  0.00000001]
 [ 0.00000002  0.00000002]
 [ 0.00000002  0.00000002]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.00046515  0.00046515]
 [ 0.00000318  0.00000318]
 [ 0.00001044  0.00001044]
 [ 0.00115282  0.00115282]
 [ 0.00000304  0.00000304]
 [ 0.00000821  0.00000821]
 [ 0.00001011  0.00001011]
 [ 0.00000324  0.00000324]
 [ 0.          0.        ]
 [ 0.00000222  0.00000222]
 [ 0.00000006  0.00000006]
 [ 0.00416075  0.00416075]
 [ 0.01080559  0.01080559]
 [ 0.00640722  0.00640722]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [ 0.02870116  0.02870115]
 [ 0.          0.        ]
 [ 0.01214993  0.01214993]
 [ 0.00549968  0.00549969]
 [ 0.00000002  0.00000002]
 [ 0.00343773  0.00343773]
 [ 0.00000313  0.00000313]
