Node_1,Node_2,time_sum
217,217,2370828
214,217,2370828
212,217,2370828
213,217,2370828
210,217,2370828
211,217,2370828
165,217,2370828
264,217,2370828
265,217,2370828
178,217,2370828
219,217,2370828
133,217,2370828
91,217,2370828
131,217,2370828
130,217,2370828
137,217,2370828
136,217,2370828
129,217,2370828
139,217,2370828
138,217,2370828
93,217,2370828
24,217,2370828
25,217,2370828
26,217,2370828
92,217,2370828
21,217,2370828
22,217,2370828
23,217,2370828
160,217,2370828
198,217,2370828
28,217,2370828
29,217,2370828
94,217,2370828
289,217,2370828
288,217,2370828
221,217,2370828
281,217,2370828
280,217,2370828
163,217,2370828
285,217,2370828
284,217,2370828
287,217,2370828
286,217,2370828
10,217,2370828
263,217,2370828
262,217,2370828
122,217,2370828
12,217,2370828
267,217,2370828
266,217,2370828
126,217,2370828
127,217,2370828
128,217,2370828
2,217,2370828
269,217,2370828
268,217,2370828
118,217,2370828
59,217,2370828
58,217,2370828
132,217,2370828
55,217,2370828
54,217,2370828
57,217,2370828
56,217,2370828
51,217,2370828
50,217,2370828
53,217,2370828
52,217,2370828
298,217,2370828
299,217,2370828
296,217,2370828
297,217,2370828
294,217,2370828
295,217,2370828
292,217,2370828
293,217,2370828
290,217,2370828
146,217,2370828
199,217,2370828
179,217,2370828
134,217,2370828
195,217,2370828
194,217,2370828
197,217,2370828
196,217,2370828
191,217,2370828
190,217,2370828
193,217,2370828
192,214,2370828
115,217,2370828
114,217,2370828
88,217,2370828
89,217,2370828
274,217,2370828
110,217,2370828
113,217,2370828
112,217,2370828
278,217,2370828
83,217,2370828
80,217,2370828
81,217,2370828
119,217,2370828
87,217,2370828
84,217,2370828
85,217,2370828
117,217,2370828
140,217,2370828
108,217,2370828
256,217,2370828
206,217,2370828
226,217,2370828
257,217,2370828
35,217,2370828
3,217,2370828
7,217,2370828
170,217,2370828
300,217,2370828
301,217,2370828
302,217,2370828
245,217,2370828
244,217,2370828
247,217,2370828
109,217,2370828
241,217,2370828
240,217,2370828
243,217,2370828
242,217,2370828
102,217,2370828
103,217,2370828
100,217,2370828
101,217,2370828
249,217,2370828
248,217,2370828
104,217,2370828
105,217,2370828
39,217,2370828
38,217,2370828
33,217,2370828
31,217,2370828
30,217,2370828
37,217,2370828
36,217,2370828
177,217,2370828
34,217,2370828
246,217,2370828
223,217,2370828
169,217,2370828
176,217,2370828
60,217,2370828
258,217,2370828
259,217,2370828
66,217,2370828
67,217,2370828
68,217,2370828
253,217,2370828
250,217,2370828
251,217,2370828
173,217,2370828
172,217,2370828
254,217,2370828
255,217,2370828
222,217,2370828
271,217,2370828
180,217,2370828
107,217,2370828
182,217,2370828
183,217,2370828
96,217,2370828
181,217,2370828
186,217,2370828
187,217,2370828
184,217,2370828
185,217,2370828
188,217,2370828
189,217,2370828
273,217,2370828
6,217,2370828
142,217,2370828
99,217,2370828
98,217,2370828
168,217,2370828
8,217,2370828
229,217,2370828
228,217,2370828
164,217,2370828
90,217,2370828
225,217,2370828
167,217,2370828
95,217,2370828
161,217,2370828
162,217,2370828
220,217,2370828
11,217,2370828
270,217,2370828
13,217,2370828
282,214,2370828
15,217,2370828
14,217,2370828
17,217,2370828
16,217,2370828
18,217,2370828
272,217,2370828
116,217,2370828
111,217,2370828
204,217,2370828
151,217,2370828
150,217,2370828
153,217,2370828
276,217,2370828
154,217,2370828
157,217,2370828
156,217,2370828
159,217,2370828
158,217,2370828
62,217,2370828
277,217,2370828
82,217,2370828
238,217,2370828
239,217,2370828
279,217,2370828
234,217,2370828
235,217,2370828
236,217,2370828
230,217,2370828
231,217,2370828
232,217,2370828
233,217,2370828
123,217,2370828
48,217,2370828
49,217,2370828
46,217,2370828
47,217,2370828
44,217,2370828
45,217,2370828
42,217,2370828
43,217,2370828
40,217,2370828
41,217,2370828
1,217,2370828
5,217,2370828
9,217,2370828
201,217,2370828
147,217,2370828
144,217,2370828
145,217,2370828
205,217,2370828
143,217,2370828
207,217,2370828
141,217,2370828
209,217,2370828
208,217,2370828
148,217,2370828
149,217,2370828
77,217,2370828
76,217,2370828
75,217,2370828
74,217,2370828
73,217,2370828
72,217,2370828
71,217,2370828
78,217,2370828
121,217,2370828
260,217,2370828
124,217,2370828
125,217,2370828
