[[  0.     0.  ]
 [  2.63   2.83]
 [  3.02   3.21]
 [  4.65   4.51]
 [  0.     0.  ]
 [  1.39   1.55]
 [  0.97   1.13]
 [  8.28   9.5 ]
 [  4.01   4.07]
 [  2.01   2.15]
 [  1.53   1.54]
 [ 13.19  13.82]
 [  5.52   5.94]
 [ 22.92  24.89]
 [  4.39   4.84]
 [  6.81   7.14]
 [  0.56   0.6 ]
 [  3.31   3.22]
 [  2.52   2.58]
 [  0.     0.  ]
 [  0.     0.  ]
 [  1.33   1.43]
 [  2.85   2.9 ]
 [  3.63   3.75]
 [  7.4    7.69]
 [  0.     0.  ]
 [  3.19   3.28]
 [  0.     0.  ]
 [ 17.    19.02]
 [  2.16   2.41]
 [  0.92   0.97]
 [  2.76   2.83]
 [  0.     0.  ]
 [  2.45   2.63]
 [  1.11   1.1 ]
 [ 10.97  11.54]
 [  1.36   1.39]
 [  0.88   0.97]
 [  1.85   1.94]
 [  2.62   2.65]
 [  9.06  11.93]
 [  4.77   5.14]
 [ 22.38  24.21]
 [  4.23   4.48]
 [  2.14   1.9 ]
 [  0.88   0.94]
 [  0.58   0.6 ]
 [  2.58   2.35]
 [  7.59   8.44]
 [  9.22  10.3 ]
 [  0.31   0.31]
 [  0.23   0.23]
 [  0.91   1.06]
 [  0.45   0.46]
 [  4.06   4.99]
 [  2.63   3.19]
 [  3.84   3.98]
 [  0.82   0.9 ]
 [  2.07   2.06]
 [  2.75   2.83]
 [  8.72  11.56]
 [  0.     0.  ]
 [  0.39   0.43]
 [  0.     0.  ]
 [  0.     0.  ]
 [  0.     0.  ]
 [  1.08   1.14]
 [  2.26   2.45]
 [  1.03   1.09]
 [  0.     0.  ]
 [  0.     0.  ]
 [  1.66   1.42]
 [  7.86   8.24]
 [  1.57   1.68]
 [ 10.24  10.73]
 [  1.18   1.26]
 [  1.66   1.75]
 [  3.09   3.2 ]
 [  6.52   6.85]
 [  0.     0.  ]
 [  2.45   2.48]
 [  2.13   2.24]
 [  1.94   2.12]
 [  2.93   3.01]
 [  8.65   9.07]
 [  1.18   1.26]
 [  0.     0.  ]
 [  9.23  10.56]
 [  1.53   1.57]
 [ 17.06  18.26]
 [  5.21   5.68]
 [  0.44   0.48]
 [  9.4    9.62]
 [  2.63   2.86]
 [  4.42   4.55]
 [ 11.9   12.39]
 [  4.53   5.03]
 [  0.     0.  ]
 [  2.65   2.83]
 [  6.91   7.25]
 [  3.84   3.97]
 [  0.78   0.82]
 [  4.95   5.67]
 [  0.24   0.24]
 [  3.59   3.58]
 [  1.9    2.05]
 [  0.     0.  ]
 [ 14.31  17.42]
 [  2.25   2.14]
 [  1.43   1.52]
 [  4.38   4.51]
 [  2.06   2.25]
 [  1.66   1.7 ]
 [  1.09   1.19]
 [  2.19   2.28]
 [  4.09   4.66]
 [  1.44   1.49]
 [  4.07   3.65]
 [  1.31   1.15]
 [  3.51   3.5 ]
 [  0.     0.  ]
 [  1.51   1.63]
 [  5.7    6.29]
 [  7.45   8.81]
 [  2.43   2.55]
 [  0.68   0.72]
 [ 14.61  17.37]
 [  1.65   1.72]
 [  3.71   4.34]
 [  0.91   1.07]
 [  1.92   1.99]
 [  2.06   2.21]
 [  1.58   1.6 ]
 [  2.88   3.19]
 [  0.46   0.52]
 [  0.     0.  ]
 [  2.19   2.33]
 [  1.18   1.14]
 [  0.8    0.94]
 [  3.48   3.73]
 [  0.93   1.01]
 [  1.54   1.59]
 [  3.67   3.85]
 [  1.67   1.78]
 [  1.7    1.74]
 [ 37.52  39.59]
 [  9.86  10.84]
 [  2.52   2.57]
 [  1.71   1.79]
 [  3.28   3.4 ]
 [  0.82   0.88]
 [ 17.56  21.22]
 [  0.     0.  ]
 [  6.46   6.83]
 [  5.06   5.39]
 [  0.     0.  ]
 [ 30.85  32.79]
 [ 31.18  34.26]
 [  1.39   1.61]
 [  1.49   1.5 ]
 [  4.6    4.61]
 [  3.62   3.8 ]
 [  8.33   8.55]
 [  5.32   6.08]
 [  6.92   7.1 ]
 [  0.48   0.61]
 [  0.     0.  ]
 [ 10.19  11.03]
 [  0.4    0.43]
 [  3.53   3.67]
 [  2.67   1.64]
 [  0.     0.  ]
 [  1.34   1.36]
 [  2.03   1.89]
 [  0.     0.  ]
 [  0.     0.  ]
 [  1.85   1.94]
 [  2.08   2.2 ]
 [  1.75   1.83]
 [  0.99   0.99]
 [  0.64   0.65]
 [  2.29   2.36]
 [  0.46   0.47]
 [  7.42   8.28]
 [  0.7    0.73]
 [  0.77   0.8 ]
 [  7.65   9.71]
 [  1.33   1.42]
 [  9.87  11.17]
 [  1.06   1.09]
