Node Popularity Entropy_sum Betweeness
216 2 8413.7862958746118 2999
217 2 9851.4564263563916 3770
214 2 5108.3936916745461 1819
215 2 8547.2202141822654 3354
212 1 1613.6112752802546 603
213 2 8725.9003977941011 3009
210 2 9845.5466077623969 3493
211 2 1314.480956778996 603
264 5 34467.042211833446 12287
218 2 12775.654491486846 4619
219 2 6842.8084830741664 2391
133 2 2373.0116452949192 1079
227 1 1423.3210329068543 603
131 2 10603.134099592855 3563
130 2 8920.5247540619184 2979
137 2 15404.008987694113 5291
136 3 8615.3488901168712 3459
135 2 10264.368418689019 3563
134 2 5186.894349519981 1799
95 4 20637.845201386161 7894
139 2 17466.532658876029 6423
138 1 1435.7388400388124 603
93 3 10119.243726947587 3571
24 2 52050.495908424171 18092
25 2 5314.8724605984107 2090
26 2 3126.6675004493727 1203
27 2 3465.3878114744607 1383
20 2 6788.0505080619632 2391
21 2 12455.651384446892 4143
22 2 12786.816444473374 4719
23 2 23213.419938846309 8245
223 2 6071.5699720137181 2391
28 4 75116.954608916989 27282
29 2 3973.7909916879976 1616
222 2 3199.3297827420529 1443
289 2 6814.243534119295 2714
288 4 27372.627159828709 9793
4 2 4271.9891649177089 1670
281 4 38406.795883032508 13972
280 2 8927.3245042226808 2979
283 3 9969.6308885371764 3856
96 2 11191.395698837323 4143
285 2 4882.8115097118343 1869
284 4 45332.846404324831 16295
287 2 6851.6910297100403 2391
286 2 12600.352405081663 4719
13 6 65888.825066364778 24009
120 2 16253.471932406466 5859
262 3 3072.8587215908083 1277
122 3 4536.5898245443614 1959
123 2 21643.862674748918 8298
267 2 3721.1750685978805 1203
266 1 1872.1592204057745 603
265 2 11220.089786949917 4143
127 2 18264.984556725427 6538
128 2 2164.965013140275 918
129 2 5538.6036603402345 1799
269 2 18717.827792923163 6423
268 2 14087.889365404924 4719
69 2 5296.8199570251199 1799
161 2 4548.9005273071089 1766
59 2 5139.4903469634628 1799
58 2 5105.8783359335957 1799
132 2 7199.7328376819205 2391
55 2 14285.138106202083 5291
54 2 12885.181750537968 4719
57 1 1717.1246105242842 603
56 2 11431.334704155825 4143
51 2 3488.5200618125755 1241
50 1 1776.2951128449715 603
53 2 7006.1412216152412 2391
52 2 1531.3494673659764 603
228 2 45358.384562378087 16202
63 2 11311.411109888813 4053
298 1 1714.3725363822323 603
299 2 3400.964528064515 1203
296 2 4284.0654056585226 1668
297 2 13848.126385872369 4719
294 4 7114.9938149806439 2991
295 2 15888.107102800488 5593
292 2 1444.9507282860818 603
293 1 1808.5614321205724 603
290 2 16448.391028690537 5905
291 3 1988.2927492772608 869
164 4 54550.42269707669 19158
201 2 32276.931799043712 11523
199 2 20162.78573709798 6983
198 2 18180.523984599793 6323
200 4 8492.4396652685591 3322
195 2 10345.909716768358 3563
194 2 9728.3404489985278 3563
197 2 13600.720950729816 5213
196 4 7474.5535197280333 3054
191 6 64143.489328090865 23250
190 2 7587.4110718225647 3001
193 2 11955.525098083521 4263
192 5 30288.440153904379 11180
115 3 33705.907553991041 11949
114 1 1844.7421513840959 603
88 1 1781.1361446158983 603
273 1 1579.8955852493441 603
274 2 11358.94868782613 4071
110 4 37327.219502590619 13329
276 3 30690.54473307425 11547
112 2 11928.779774750135 4143
