Station;Latitude;Longitude;Entry Weekday;Entry Saturday;Entry Sunday;Exit Weekday;Exit Saturday;Exit Sunday;Annual Entry+Exit (million);Annual Entry;Annual Exit;
Acton Town;51,503071;-0,280288;8702;6326;4216;8392;5976;4223;5,46;2,63;2,83;
Aldgate;51,514342;-0,075613;11319;2358;2251;10919;3676;2758;6,24;3,02;3,21;
Aldgate East;51,515082;-0,072987;15045;8983;8051;13957;8177;7672;9,16;4,65;4,51;
Alperton;51,541209;-0,299501;4478;3357;2373;4665;3384;2399;2,95;1,39;1,55;
Amersham;51,674129;-0,606499;3461;1496;975;3775;1582;869;2,10;0,97;1,13;
Angel;51,532968;-0,105567;27812;21215;12655;27740;21851;12446;17,78;8,28;9,50;
Archway;51,565491;-0,135107;13511;9146;5741;12556;7138;5108;8,08;4,01;4,07;
Arnos Grove;51,61623;-0,134256;6711;5162;3129;6268;4648;3067;4,16;2,01;2,15;
Arsenal;51,558541;-0,105486;4923;4534;2807;4281;3508;2634;3,07;1,53;1,54;
Baker Street;51,52313;-0,15689;43877;28850;20798;41869;27280;19966;27,02;13,19;13,82;
Balham;51,443183;-0,152671;18448;13543;8334;17769;12143;7961;11,46;5,52;5,94;
Bank;51,513347;-0,088986;87174;21429;11706;87584;21639;11203;47,80;22,92;24,89;
Barbican;51,520215;-0,097707;16173;6673;3769;15812;6849;3576;9,23;4,39;4,84;
Barking;51,539521;0,080846;22912;15199;10192;21587;13841;9937;13,96;6,81;7,14;
Barkingside;51,585851;0,088491;1994;977;653;1872;1012;622;1,16;0,56;0,60;
Barons Court;51,490229;-0,213416;11409;6579;4365;10111;5062;3867;6,54;3,31;3,22;
Bayswater;51,512111;-0,187887;7284;7711;6390;6972;7242;5756;5,10;2,52;2,58;
Becontree;51,539585;0,126895;4658;2820;1707;4345;2645;1642;2,76;1,33;1,43;
Belsize Park;51,550191;-0,16396;9766;5601;3796;9061;4874;3658;5,75;2,85;2,90;
Bermondsey;51,497961;-0,064316;12166;8160;5653;11173;7462;5580;7,38;3,63;3,75;
Bethnal Green;51,527192;-0,055378;23818;19716;13643;21829;17909;13159;15,09;7,40;7,69;
Blackfriars;51,511587;-0,102981;0;0;0;0;0;0;0,00;0,00;0,00;
Blackhorse Road;51,585777;-0,039611;10718;7296;4945;9820;6482;4479;6,47;3,19;3,28;
Bond Street;51,513798;-0,149599;57023;44164;25411;56033;41408;24914;36,02;17,00;19,02;
Borough;51,501049;-0,094183;7365;4650;3050;7339;4798;3085;4,57;2,16;2,41;
Boston Manor;51,495766;-0,324733;3011;2119;1451;2973;1842;1396;1,89;0,92;0,97;
Bounds Green;51,607032;-0,124163;9048;6775;4686;8292;5933;4548;5,59;2,76;2,83;
Bow Road;51,527042;-0,024345;8216;5324;3700;8008;5174;3612;5,08;2,45;2,63;
Brent Cross;51,576599;-0,213321;3568;2382;2006;3341;2182;1791;2,21;1,11;1,10;
Brixton;51,462737;-0,114538;36383;26562;18140;33521;25148;18046;22,51;10,97;11,54;
Bromley-by-Bow;51,52484;-0,011668;4621;2527;1873;4413;2292;1765;2,75;1,36;1,39;
Buckhurst Hill;51,626577;0,046727;3155;1892;904;3001;1674;906;1,85;0,88;0,97;
Burnt Oak;51,602552;-0,264316;6265;4165;2796;5765;3931;2681;3,79;1,85;1,94;
Caledonian Road;51,547885;-0,118346;8709;6011;4239;7866;5340;4066;5,27;2,62;2,65;
Camden Town;51,539969;-0,142438;27850;35419;16704;29045;40891;27751;20,99;9,06;11,93;
Canada Water;51,498168;-0,050793;14889;12676;9281;14842;12175;9233;9,91;4,77;5,14;
Canary Wharf;51,503578;-0,019452;80732;28729;19895;82010;29214;20838;46,59;22,38;24,21;
Canning Town;51,51387;0,00832;13158;11872;8450;12622;11027;8456;8,71;4,23;4,48;
Cannon Street;51,511362;-0,090236;8469;0;0;7529;0;0;4,05;2,14;1,90;
Canons Park;51,607651;-0,294377;3141;1478;905;3039;1363;862;1,82;0,88;0,94;
Chalfont & Latimer;51,667908;-0,561053;2127;850;545;1985;808;500;1,19;0,58;0,60;
Chalk Farm;51,544149;-0,153719;8078;7104;5803;6677;5352;3641;4,94;2,58;2,35;
Chancery Lane;51,518494;-0,111948;28614;7778;4136;29768;7509;3825;16,04;7,59;8,44;
Charing Cross;51,508359;-0,124789;29282;25963;16562;29802;24443;16385;19,51;9,22;10,30;
Chesham;51,70538;-0,611415;1165;519;304;916;551;289;0,62;0,31;0,31;
Chigwell;51,617858;0,076194;882;366;195;693;376;179;0,46;0,23;0,23;
Chiswick Park;51,494371;-0,267723;3109;1711;1078;3454;1718;1131;1,97;0,91;1,06;
Chorleywood;51,654266;-0,518319;1685;666;346;1472;641;324;0,91;0,45;0,46;
Clapham Common;51,461804;-0,138301;12976;11772;7179;14304;13144;7365;9,06;4,06;4,99;
Clapham North;51,464916;-0,129896;7947;7832;4911;9609;7640;4929;5,83;2,63;3,19;
Clapham South;51,452677;-0,14797;12818;8563;5795;12063;7564;5797;7,82;3,84;3,98;
Cockfosters;51,652024;-0,149902;2652;2361;1451;2553;2174;1407;1,72;0,82;0,90;
Colindale;51,595231;-0,250273;6986;4709;3162;6146;3912;2870;4,13;2,07;2,06;
Colliers Wood;51,418759;-0,177401;9036;6839;4621;8251;5978;4442;5,57;2,75;2,83;
Covent Garden;51,51276;-0,124492;25966;29803;20354;29597;41505;22253;20,28;8,72;11,56;
Croxley;51,647005;-0,441589;1458;554;278;1428;510;279;0,82;0,39;0,43;
Dagenham East;51,544187;0,165848;3802;2320;1419;3423;2165;1314;2,22;1,08;1,14;
Dagenham Heathway;51,541212;0,147694;7866;4763;2825;7557;4437;2777;4,71;2,26;2,45;
Debden;51,645492;0,083816;3862;1569;803;3527;1491;766;2,12;1,03;1,09;
Dollis Hill;51,551851;-0,238783;5714;3586;2502;4179;2344;1993;3,08;1,66;1,42;
Ealing Broadway;51,514862;-0,301996;26500;17536;11837;24718;16329;11422;16,09;7,86;8,24;
Ealing Common;51,510249;-0,287137;5063;3918;2619;5054;3446;2566;3,25;1,57;1,68;
Earls Court;51,491357;-0,194299;30597;31164;24459;28559;30599;22789;20,97;10,24;10,73;
East Acton;51,516263;-0,248098;5421;3679;2670;5394;3329;2546;3,41;1,66;1,75;
East Finchley;51,587333;-0,164729;10565;6503;4096;9971;5469;3929;6,29;3,09;3,20;
East Ham;51,539246;0,051531;21148;15818;11099;20364;14294;10885;13,37;6,52;6,85;
East Putney;51,45888;-0,210984;8475;5666;3135;7527;4335;3008;4,93;2,45;2,48;
Eastcote;51,576552;-0,396809;4243;2300;1160;3953;1975;1149;2,43;1,18;1,26;
Edgware;51,61423;-0,275079;6914;5186;3648;6653;4707;3571;4,37;2,13;2,24;
Edgware Road (Bak);51,520645;-0,170525;6413;4736;3117;6364;4480;2822;4,06;1,94;2,12;
Edgware Road (Cir);51,519998;-0,167654;10081;4774;3876;9676;4777;3614;5,94;2,93;3,01;
Elephant and Castle;51,495849;-0,100724;29273;18394;13115;27137;18155;13073;17,72;8,65;9,07;
Elm Park;51,549125;0,197267;4294;2103;1129;4014;1952;1086;2,44;1,18;1,26;
Embankment;51,507313;-0,122353;30157;24942;16127;30006;26586;15894;19,79;9,23;10,56;
Epping;51,693686;0,11384;5270;3628;2390;4405;3579;2230;3,10;1,53;1,57;
Euston;51,528664;-0,133282;53204;40245;33274;54803;40620;31028;35,32;17,06;18,26;
Euston Square;51,528664;-0,133282;18929;6010;4145;19795;5874;3832;10,89;5,21;5,68;
Fairlop;51,59611;0,090608;1582;864;484;1478;853;514;0,92;0,44;0,48;
Farringdon;51,520196;-0,104829;36492;6375;3251;34785;6043;2605;19,02;9,40;9,62;
Finchley Central;51,600903;-0,193206;9071;6462;3264;8677;5333;3356;5,49;2,63;2,86;
Finchley Road;51,547096;-0,180036;14799;9631;6880;13749;8856;6559;8,98;4,42;4,55;
Finsbury Park;51,564635;-0,105867;38555;36015;20860;34792;28551;19385;24,29;11,90;12,39;
Fulham Broadway;51,480261;-0,19553;15306;10491;6783;15126;10597;6217;9,56;4,53;5,03;
Gants Hill;51,576553;0,066099;8990;5692;3823;8565;5553;3834;5,48;2,65;2,83;
Gloucester Road;51,4945;-0,183529;22323;16476;12603;21373;16053;11394;14,16;6,91;7,25;
Golders Green;51,572216;-0,19482;12242;9173;6945;11825;8350;6791;7,81;3,84;3,97;
Goldhawk Road;51,502077;-0,22739;2731;1498;891;2611;1308;917;1,60;0,78;0,82;
Goodge Street;51,520613;-0,134793;18104;8129;4677;18105;9142;4774;10,62;4,95;5,67;
Grange Hill;51,61348;0,092287;902;405;226;770;348;215;0,49;0,24;0,24;
